Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
CircleRandom, test 4, 100, 100, 16, True, 1, True
CircleRandom, test 5, 100, 100, 16, True, 1, True
CircleRandom, test 1, 1000, 1000, 1724, True, 12, True
CircleRandom, test 2, 1000, 1000, 1786, True, 11, True
CircleRandom, test 3, 1000, 1000, 1687, True, 11, True
CircleRandom, test 4, 1000, 1000, 1691, True, 11, True
CircleRandom, test 5, 1000, 1000, 1674, True, 11, True
DisturbedRandom, test 1, 100, 77, 17, True, 1, True
DisturbedRandom, test 2, 100, 72, 16, True, 1, True
DisturbedRandom, test 3, 100, 75, 16, True, 1, True
DisturbedRandom, test 4, 100, 79, 17, True, 1, True
DisturbedRandom, test 5, 100, 72, 16, True, 1, True
DisturbedRandom, test 1, 1000, 241, 740, True, 14, True
DisturbedRandom, test 2, 1000, 223, 692, True, 14, True
DisturbedRandom, test 3, 1000, 229, 695, True, 14, True
DisturbedRandom, test 4, 1000, 225, 688, True, 14, True
DisturbedRandom, test 5, 1000, 237, 750, True, 14, True
UnitRandom, test 1, 100, 12, 4, True, 1, True
UnitRandom, test 2, 100, 10, 3, True, 1, True
UnitRandom, test 3, 100, 14, 4, True, 1, True
UnitRandom, test 4, 100, 13, 4, True, 1, True
UnitRandom, test 5, 100, 14, 4, True, 1, True
UnitRandom, test 1, 1000, 17, 60, True, 14, True
UnitRandom, test 2, 1000, 18, 62, True, 14, True
UnitRandom, test 3, 1000, 20, 72, True, 14, True
UnitRandom, test 4, 1000, 21, 72, True, 14, True
UnitRandom, test 5, 1000, 18, 62, True, 14, True
